2026-04-17 02:36:12 | DEBUG | entry | [TRUTHUSDT] Фандинг 2 (Diff) триггер: diff=0.073086%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [UBUSDT] Фандинг 2 (Diff) триггер: diff=0.050235%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [VANRYUSDT] Фандинг 2 (Diff) триггер: diff=0.11601900000000001%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [WALUSDT] Фандинг 2 (Diff) триггер: diff=0.063401%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [XPINUSDT] Фандинг 2 (Diff) триггер: diff=0.10280099999999998%, min_time_left=1428.0s
2026-04-17 02:36:12 | INFO | entry | ⚖️ [Фандинг 2] Diff-Блок! Под запретом 37 монет: EWJUSDT, PAYPUSDT, TRUTHUSDT, HANAUSDT, ORDIUSDT...
2026-04-17 02:37:12 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 02:37:12 | DEBUG | entry | [AKEUSDT] Фандинг 2 (Diff) триггер: diff=0.06830299999999999%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [APRUSDT] Фандинг 2 (Diff) триггер: diff=0.073514%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [ARCUSDT] Фандинг 2 (Diff) триггер: diff=0.165729%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [ARIAUSDT] Фандинг 2 (Diff) триггер: diff=0.13037200000000002%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [AXLUSDT] Фандинг 2 (Diff) триггер: diff=0.141084%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [BASUSDT] Фандинг 2 (Diff) триггер: diff=0.07589800000000001%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [BLUAIUSDT] Фандинг 2 (Diff) триггер: diff=0.057277999999999996%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [BTRUSDT] Фандинг 2 (Diff) триггер: diff=0.056551%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [COINUSDT] Фандинг 2 (Diff) триггер: diff=0.054367%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [CYSUSDT] Фандинг 2 (Diff) триггер: diff=0.067562%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [DUSDT] Фандинг 2 (Diff) триггер: diff=0.13858499999999999%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [ESPORTSUSDT] Фандинг 2 (Diff) триггер: diff=0.053155999999999995%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [EWJUSDT] Фандинг 2 (Diff) триггер: diff=0.080098%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [GRIFFAINUSDT] Фандинг 2 (Diff) триггер: diff=0.08492699999999999%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [HANAUSDT] Фандинг 2 (Diff) триггер: diff=0.084135%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [LIGHTUSDT] Фандинг 2 (Diff) триггер: diff=0.07280099999999999%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [LYNUSDT] Фандинг 2 (Diff) триггер: diff=0.11510100000000001%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [METAUSDT] Фандинг 2 (Diff) триггер: diff=0.0519%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [ORDIUSDT] Фандинг 2 (Diff) триггер: diff=0.07024000000000001%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [PAYPUSDT] Фандинг 2 (Diff) триггер: diff=0.557472%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [PIPPINUSDT] Фандинг 2 (Diff) триггер: diff=0.075615%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [PTBUSDT] Фандинг 2 (Diff) триггер: diff=0.067135%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [QUSDT] Фандинг 2 (Diff) триггер: diff=0.082329%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [RAVEUSDT] Фандинг 2 (Diff) триггер: diff=0.582069%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [REDUSDT] Фандинг 2 (Diff) триггер: diff=0.082407%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [SIGNUSDT] Фандинг 2 (Diff) триггер: diff=0.18373300000000004%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [SIRENUSDT] Фандинг 2 (Diff) триггер: diff=0.102072%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [SNDKUSDT] Фандинг 2 (Diff) триггер: diff=0.07942300000000001%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [SPACEUSDT] Фандинг 2 (Diff) триггер: diff=0.05929399999999999%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [TACUSDT] Фандинг 2 (Diff) триггер: diff=0.094942%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [TAUSDT] Фандинг 2 (Diff) триггер: diff=0.053441999999999996%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [TRIAUSDT] Фандинг 2 (Diff) триггер: diff=0.068562%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [TRUTHUSDT] Фандинг 2 (Diff) триггер: diff=0.07307899999999999%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [VANRYUSDT] Фандинг 2 (Diff) триггер: diff=0.11592400000000001%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [WALUSDT] Фандинг 2 (Diff) триггер: diff=0.06229%, min_time_left=1367.1s
2026-04-17 02:37:12 | DEBUG | entry | [XPINUSDT] Фандинг 2 (Diff) триггер: diff=0.10339300000000001%, min_time_left=1367.1s
2026-04-17 02:37:12 | INFO | entry | ⚖️ [Фандинг 2] Diff-Блок! Под запретом 36 монет: EWJUSDT, PAYPUSDT, TRUTHUSDT, HANAUSDT, ORDIUSDT...
2026-04-17 02:38:13 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 02:38:13 | DEBUG | entry | [AKEUSDT] Фандинг 2 (Diff) триггер: diff=0.068688%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [APRUSDT] Фандинг 2 (Diff) триггер: diff=0.072909%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [ARCUSDT] Фандинг 2 (Diff) триггер: diff=0.16525999999999996%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [ARIAUSDT] Фандинг 2 (Diff) триггер: diff=0.128692%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [AXLUSDT] Фандинг 2 (Diff) триггер: diff=0.14251799999999998%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [BASUSDT] Фандинг 2 (Diff) триггер: diff=0.074509%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [BLUAIUSDT] Фандинг 2 (Diff) триггер: diff=0.057567%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [BTRUSDT] Фандинг 2 (Diff) триггер: diff=0.056538%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [COINUSDT] Фандинг 2 (Diff) триггер: diff=0.054984%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [CYSUSDT] Фандинг 2 (Diff) триггер: diff=0.067741%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [DUSDT] Фандинг 2 (Diff) триггер: diff=0.137908%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [ESPORTSUSDT] Фандинг 2 (Diff) триггер: diff=0.052848%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [EWJUSDT] Фандинг 2 (Diff) триггер: diff=0.079621%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [GRIFFAINUSDT] Фандинг 2 (Diff) триггер: diff=0.08893599999999999%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [HANAUSDT] Фандинг 2 (Diff) триггер: diff=0.083574%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [LIGHTUSDT] Фандинг 2 (Diff) триггер: diff=0.073094%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [LYNUSDT] Фандинг 2 (Diff) триггер: diff=0.11399400000000001%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [METAUSDT] Фандинг 2 (Diff) триггер: diff=0.051623999999999996%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [ORDIUSDT] Фандинг 2 (Diff) триггер: diff=0.069188%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [PAYPUSDT] Фандинг 2 (Diff) триггер: diff=0.563706%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [PIPPINUSDT] Фандинг 2 (Diff) триггер: diff=0.075541%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [PTBUSDT] Фандинг 2 (Diff) триггер: diff=0.06707999999999999%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [QUSDT] Фандинг 2 (Diff) триггер: diff=0.080256%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [RAVEUSDT] Фандинг 2 (Diff) триггер: diff=0.5902799999999999%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [REDUSDT] Фандинг 2 (Diff) триггер: diff=0.082212%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [SIGNUSDT] Фандинг 2 (Diff) триггер: diff=0.18700799999999998%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [SIRENUSDT] Фандинг 2 (Diff) триггер: diff=0.104583%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [SNDKUSDT] Фандинг 2 (Diff) триггер: diff=0.079372%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [SPACEUSDT] Фандинг 2 (Diff) триггер: diff=0.06134799999999999%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [TACUSDT] Фандинг 2 (Diff) триггер: diff=0.09532299999999999%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [TAUSDT] Фандинг 2 (Diff) триггер: diff=0.053262000000000004%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [TRIAUSDT] Фандинг 2 (Diff) триггер: diff=0.067461%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [TRUTHUSDT] Фандинг 2 (Diff) триггер: diff=0.073225%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [VANRYUSDT] Фандинг 2 (Diff) триггер: diff=0.116183%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [WALUSDT] Фандинг 2 (Diff) триггер: diff=0.062887%, min_time_left=1306.4s
2026-04-17 02:38:13 | DEBUG | entry | [XPINUSDT] Фандинг 2 (Diff) триггер: diff=0.10355500000000001%, min_time_left=1306.4s
2026-04-17 02:39:14 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 02:39:14 | DEBUG | entry | [AKEUSDT] Фандинг 2 (Diff) триггер: diff=0.067894%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [APRUSDT] Фандинг 2 (Diff) триггер: diff=0.072864%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [ARCUSDT] Фандинг 2 (Diff) триггер: diff=0.16506700000000005%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [ARIAUSDT] Фандинг 2 (Diff) триггер: diff=0.127058%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [AXLUSDT] Фандинг 2 (Diff) триггер: diff=0.14077100000000012%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [BASUSDT] Фандинг 2 (Diff) триггер: diff=0.075895%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [BLUAIUSDT] Фандинг 2 (Diff) триггер: diff=0.058329%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [BTRUSDT] Фандинг 2 (Diff) триггер: diff=0.056110999999999994%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [COINUSDT] Фандинг 2 (Diff) триггер: diff=0.055451%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [CYSUSDT] Фандинг 2 (Diff) триггер: diff=0.068222%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [DUSDT] Фандинг 2 (Diff) триггер: diff=0.136907%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [ESPORTSUSDT] Фандинг 2 (Diff) триггер: diff=0.052625000000000005%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [EWJUSDT] Фандинг 2 (Diff) триггер: diff=0.079144%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [GRIFFAINUSDT] Фандинг 2 (Diff) триггер: diff=0.08920099999999999%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [HANAUSDT] Фандинг 2 (Diff) триггер: diff=0.083333%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [LIGHTUSDT] Фандинг 2 (Diff) триггер: diff=0.072741%, min_time_left=1245.7s
2026-04-17 02:39:14 | DEBUG | entry | [LYNUSDT] Фандинг 2 (Diff) триггер: diff=0.11381200000000001%, min_time_left=1245.7s
