2026-05-05 19:26:47 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:27:04 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:27:15 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:28:05 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:28:22 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 19:28:45 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:29:08 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:38:03 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:38:13 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:38:51 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:39:13 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:39:35 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:39:36 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 19:40:16 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:41:03 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:48:36 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:49:54 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 19:50:06 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:50:40 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:50:52 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:51:09 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:51:44 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:52:08 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:52:55 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:59:20 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:00:32 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:01:32 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 20:02:40 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:02:52 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:03:03 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:04:21 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:05:00 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:12:04 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:12:31 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 20:13:19 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:13:33 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:14:18 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:14:29 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:14:46 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:14:59 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:16:23 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:24:03 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:24:36 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:24:46 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 20:24:49 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:25:09 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:25:32 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:28:11 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:35:04 | ERROR | api | Private API Failed (DELETE /g-orders/cancel): Phemex Error [10002]: OM_ORDER_NOT_FOUND
2026-05-05 20:35:07 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:35:43 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:36:04 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:36:13 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 20:36:38 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:36:50 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:37:51 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:38:51 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:47:01 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
