2026-05-02 23:05:03 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: Imbalance 0.1 < 1.25
2026-05-02 23:05:05 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: Imbalance 1.0 < 1.25
2026-05-02 23:05:06 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: Imbalance 0.2 < 1.25
2026-05-02 23:05:07 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: OB Spread 0.78% > 0.75%
2026-05-02 23:05:38 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 0.77% > 0.75%
2026-05-02 23:05:39 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 0.78% > 0.75%
2026-05-02 23:05:40 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 0.79% > 0.75%
2026-05-02 23:06:03 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: OB Spread 1.65% > 0.75%
2026-05-02 23:06:04 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: OB Spread 1.30% > 0.75%
2026-05-02 23:06:05 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.52% > 0.75%
2026-05-02 23:06:05 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.01% > 0.75%
2026-05-02 23:06:06 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.02% > 0.75%
2026-05-02 23:06:07 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: OB Spread 2.07% > 0.75%
2026-05-02 23:06:07 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: OB Spread 2.03% > 0.75%
2026-05-02 23:06:08 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.07% > 0.75%
2026-05-02 23:06:09 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: OB Spread 1.72% > 0.75%
2026-05-02 23:06:12 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: OB Spread 1.64% > 0.75%
2026-05-02 23:06:16 | DEBUG | pattern_math | [PUMPBTCUSDT] [LONG] Skip: Imbalance 0.8 < 1.25
2026-05-02 23:06:22 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: OB Spread 1.64% > 0.75%
2026-05-02 23:06:24 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: OB Spread 1.57% > 0.75%
2026-05-02 23:06:24 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: Vol 5.6 < 10
2026-05-02 23:06:26 | DEBUG | pattern_math | [PUMPBTCUSDT] [LONG] Skip: Imbalance 0.8 < 1.25
2026-05-02 23:06:34 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: Vol 5.6 < 10
2026-05-02 23:06:45 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: Vol 5.6 < 10
2026-05-02 23:06:50 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 0.80% > 0.75%
2026-05-02 23:06:52 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.1 < 1.25
2026-05-02 23:06:52 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: Vol 5.5 < 10
2026-05-02 23:06:56 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.9 < 1.25
2026-05-02 23:06:56 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.7 < 1.25
2026-05-02 23:06:59 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 1.0 < 1.25
2026-05-02 23:07:00 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.8 < 1.25
2026-05-02 23:07:00 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.0 < 1.25
2026-05-02 23:07:00 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.76% > 0.75%
2026-05-02 23:07:00 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.82% > 0.75%
2026-05-02 23:07:00 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.79% > 0.75%
2026-05-02 23:07:03 | DEBUG | pattern_math | [ZEREBROUSDT] [LONG] Skip: Vol 5.5 < 10
