2026-04-02 23:30:32 | DEBUG | bot | [LQTYUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:33 | DEBUG | bot | [ARBUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:33 | DEBUG | bot | [IDUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:34 | DEBUG | bot | [TLMUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:34 | DEBUG | bot | [ICXUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:35 | DEBUG | bot | [BELUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:35 | DEBUG | bot | [RPLUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:36 | DEBUG | bot | [SUIUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:36 | ERROR | bot | [U1000PEPEUSDT] Ошибка настройки: private api request failed: phemex error [10500]: failed to find symbol u1000pepeusdt
2026-04-02 23:30:37 | DEBUG | bot | [EDUUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:37 | ERROR | bot | [U1000FLOKIUSDT] Ошибка настройки: private api request failed: phemex error [10500]: failed to find symbol u1000flokiusdt
2026-04-02 23:30:38 | DEBUG | bot | [ORDIUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:38 | ERROR | bot | [U1000XECUSDT] Ошибка настройки: private api request failed: phemex error [10500]: failed to find symbol u1000xecusdt
2026-04-02 23:30:39 | DEBUG | bot | [MAVUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:40 | DEBUG | bot | [XVGUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:40 | DEBUG | bot | [WLDUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:41 | DEBUG | bot | [PENDLEUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:41 | DEBUG | bot | [AUCTIONUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:42 | DEBUG | bot | [ARKMUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:42 | DEBUG | bot | [SEIUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:43 | DEBUG | bot | [CYBERUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:43 | DEBUG | bot | [TRBUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:44 | DEBUG | bot | [XVSUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:44 | DEBUG | bot | [DUSKUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:45 | DEBUG | bot | [NMRUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:45 | DEBUG | bot | [ARKUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:46 | DEBUG | bot | [BIGTIMEUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:46 | DEBUG | bot | [BNTUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:47 | DEBUG | bot | [WAXPUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:47 | DEBUG | bot | [POLYXUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:48 | DEBUG | bot | [GASUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:48 | DEBUG | bot | [TIAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:49 | DEBUG | bot | [MEMEUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:49 | DEBUG | bot | [CAKEUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:50 | DEBUG | bot | [STEEMUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:50 | DEBUG | bot | [ILVUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:51 | DEBUG | bot | [KASUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:51 | DEBUG | bot | [BEAMUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:52 | ERROR | bot | [U1000BONKUSDT] Ошибка настройки: private api request failed: phemex error [10500]: failed to find symbol u1000bonkusdt
2026-04-02 23:30:52 | DEBUG | bot | [PYTHUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:53 | DEBUG | bot | [SUPERUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:53 | DEBUG | bot | [USTCUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:54 | DEBUG | bot | [ONGUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:54 | DEBUG | bot | [JTOUSDT] Успешно: ISOLATED Margin, Lev=21x
